<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Var Count Result>
Symbol,Address,MemoryBank,Read Access Counter core2,Write Access Counter core2,Total
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x68,0x50000068,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x6C,0x5000006C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x70,0x50000070,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x74,0x50000074,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x78,0x50000078,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x7C,0x5000007C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x80,0x50000080,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x84,0x50000084,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x88,0x50000088,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x8C,0x5000008C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x90,0x50000090,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x94,0x50000094,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x98,0x50000098,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0x9C,0x5000009C,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xA0,0x500000A0,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xA4,0x500000A4,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xA8,0x500000A8,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xAC,0x500000AC,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xB0,0x500000B0,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xB4,0x500000B4,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xB8,0x500000B8,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xBC,0x500000BC,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xC0,0x500000C0,Data_ScratchPad_RAM_(CPU2),0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_gb_MY_FILLED_STACK2+0xC4,0x500000C4,Data_ScratchPad_RAM_(CPU2),0,1,1
